,EmployeeNumber,Age,Turnover,HourlyRate,HoursWeekly,CompensationType,AnnualSalary_Calc,DrivingCommuterDistance,JobRoleArea,Gender,MaritalStatus,NumCompaniesPreviouslyWorked_capped,AnnualProfessionalDevHrs_capped,PaycheckMethod,TextMessageOptIn,Tenure_Calc_capped
5591,10001,40,No,58.14,40,Salary,120931.2,340,Marketing,Male,Single,7.0,23.0,Direct Deposit,No,0
2649,10003,19,Yes,38.11,40,Salary,79268.8,27,Manufacturing,Prefer Not to Answer,Married,9.0,18.0,Mailed Check,No,0
4724,10009,37,Yes,88.79,40,Salary,184683.2,229,InformationTechnology,Prefer Not to Answer,Divorced,4.0,5.0,Direct Deposit,No,0
3367,10013,43,Yes,43.21,40,Salary,89876.8,124,Information Technology,Male,Divorced,8.0,20.0,Mailed Check,Yes,11
815,10014,52,Yes,84.6,40,Salary,175968.0,251,Information Technology,Male,Married,15.5,11.0,Mailed Check,No,12
3152,10021,59,No,72.81,40,Salary,151444.80000000002,56,Healthcare,Male,Married,7.0,11.0,Mailed Check,No,7
1456,10027,32,Yes,20.38,40,Salary,42390.399999999994,327,Healthcare,Prefer Not to Answer,Divorced,5.0,18.0,Mailed Check,No,0
13177,10029,30,Yes,64.38,40,Salary,133910.4,148,HumanResources,Prefer Not to Answer,Divorced,15.5,11.0,Mailed Check,No,0
33,10031,59,Yes,43.36,40,Salary,90188.8,118,Sales,Prefer Not to Answer,Single,2.0,20.0,Direct Deposit,Yes,16
12008,10036,36,No,62.63,40,Salary,130270.40000000001,441,HumanResources,Female,Married,7.0,19.0,Direct Deposit,No,7
1360,10042,30,No,29.02,40,Salary,60361.6,95,Laboratory,Prefer Not to Answer,Married,2.0,20.0,Direct Deposit,No,0
5083,10043,32,No,80.07,40,Salary,166545.59999999998,411,Human_Resources,Prefer Not to Answer,Single,4.0,15.0,Mailed Check,No,5
4468,10047,40,Yes,30.49,40,Salary,63419.2,340,Information_Technology,Prefer Not to Answer,Single,4.0,21.0,Direct Deposit,No,19
5082,10051,58,Yes,51.26,40,Salary,106620.8,130,Sales,Prefer Not to Answer,Single,15.5,8.0,Direct Deposit,No,23
5731,10060,23,Yes,46.2,40,Salary,96096.0,149,Laboratory,Prefer Not to Answer,Single,3.0,19.0,Mailed Check,Yes,0
4510,10061,54,No,64.36,40,Salary,133868.80000000002,480,Marketing,Prefer Not to Answer,Divorced,15.5,19.0,Direct Deposit,No,10
4894,10063,23,No,33.13,40,Salary,68910.40000000001,480,Human Resources,Prefer Not to Answer,Married,15.5,7.0,Mailed Check,No,0
3402,10064,52,No,59.91,40,Salary,124612.79999999999,306,Sales,Male,Married,3.0,17.0,Direct Deposit,No,23
2996,10065,33,Yes,30.45,40,Salary,63336.0,254,Sales,Female,Divorced,7.0,17.0,Direct Deposit,No,8
2741,10066,34,No,62.67,40,Salary,130353.6,2,Research,Female,Single,1.0,12.0,Mailed Check,No,8
3595,10079,33,No,92.63,40,Salary,192670.4,214,InformationTechnology,Prefer Not to Answer,Married,2.0,15.0,Direct Deposit,Yes,12
4081,10080,41,No,36.64,40,Salary,76211.2,42,HumanResources,Female,Single,9.0,15.0,Mailed Check,Yes,22
3896,10081,52,Yes,51.33,40,Salary,106766.4,34,Sales,Male,Single,2.0,8.0,Mailed Check,Yes,17
720,10082,43,Yes,35.29,40,Salary,73403.2,202,Healthcare,Male,Divorced,7.0,2.0,Mailed Check,Yes,7
2946,10084,57,Yes,56.47,40,Salary,117457.6,380,Sales,Prefer Not to Answer,Divorced,7.0,24.0,Direct Deposit,No,16
115,10086,53,Yes,22.17,40,Salary,46113.600000000006,141,Human_Resources,Male,Divorced,8.0,8.0,Mailed Check,Yes,13
761,10089,43,No,49.41,40,Salary,102772.79999999999,38,InformationTechnology,Female,Single,4.0,4.0,Mailed Check,No,25
4854,10090,42,No,49.61,40,Salary,103188.8,110,InformationTechnology,Female,Married,4.0,24.0,Direct Deposit,Yes,14
460,10092,60,Yes,55.21,40,Salary,114836.8,210,Healthcare,Male,Married,1.0,39.5,Direct Deposit,No,31
1376,10097,38,No,37.17,40,Salary,77313.6,191,HumanResources,Female,Divorced,6.0,39.5,Direct Deposit,Yes,18
5949,10098,53,Yes,68.59,40,Salary,142667.2,51,Marketing,Female,Single,7.0,16.0,Mailed Check,No,29
5124,10102,61,No,99.05,40,Salary,206024.0,214,Information Technology,Female,Divorced,5.0,18.0,Mailed Check,Yes,23
2090,10103,31,No,93.57,40,Salary,194625.59999999998,198,Information Technology,Prefer Not to Answer,Single,15.5,20.0,Direct Deposit,No,14
