,Price_capped,SquareFootage_capped,BackyardSpace_capped,CrimeRate_capped,AgeOfHome_capped,DistanceToCityCenter_capped,EmploymentRate_capped,PropertyTaxRate_capped,SchoolRating_Encoded,Fireplace_Encoded,Garage_Encoded
0,1159515.0,3128.0,1024.0,59.9,7.0,2.2,98.3,1.12,2.0,0,1
1,875266.0,2355.0,1167.0,18.3,3.0,13.3,92.1,1.11,2.0,0,1
2,837353.0,1527.0,641.0,32.6,59.0,3.5,91.9,1.29,2.0,0,1
3,731908.0,1530.0,655.0,7.3,14.0,12.4,88.9,1.73,2.0,0,1
4,655974.0,1529.0,200.0,14.7,74.5,0.6,96.0,1.48,1.0,0,1
5,752062.0,1263.0,200.0,12.0,16.0,9.2,97.0,0.99,2.0,0,1
6,894405.0,2009.0,446.0,33.3,74.5,7.4,94.1,1.02,2.0,0,1
7,489144.0,1098.0,617.0,38.0,29.0,22.2,95.3,0.91,2.0,0,1
8,939106.0,3006.0,1118.0,65.0,6.0,4.5,89.0,1.35,2.0,0,1
9,676530.0,1093.0,691.0,32.1,21.0,18.3,89.9,1.54,2.0,0,1
10,811811.0,1871.0,898.0,21.2,52.0,2.9,89.9,1.28,2.0,0,1
11,1063306.0,3442.0,1121.0,36.6,31.0,5.5,89.4,1.96,2.0,0,1
12,571257.0,907.0,789.0,40.1,4.0,17.1,95.8,1.73,2.0,0,1
13,706742.0,1131.0,667.0,15.9,64.0,1.1,95.0,1.88,2.0,0,1
14,713724.0,1911.0,772.0,11.7,41.0,4.2,91.2,1.63,1.0,0,1
15,628561.0,1399.0,200.0,49.6,8.0,8.1,96.1,1.73,2.0,0,1
16,747989.0,2030.0,643.0,8.6,3.0,8.0,99.0,1.55,2.0,0,1
17,709337.0,1420.0,472.0,5.9,74.5,3.9,95.0,1.32,2.0,0,1
18,939381.0,2021.0,200.0,13.7,15.0,1.9,90.8,1.42,2.0,0,1
19,873632.0,2533.0,1290.0,51.4,22.0,2.7,95.1,1.65,2.0,0,1
20,567004.0,1222.0,568.0,40.6,10.0,3.1,89.8,1.27,1.0,0,1
21,1098366.0,2894.0,884.0,18.1,3.0,12.4,89.0,1.81,2.0,0,1
22,1087644.0,2557.0,1096.0,14.1,10.0,0.9,98.5,1.32,2.0,0,1
23,807668.0,2043.0,1237.0,37.0,17.0,13.5,96.4,1.33,2.0,0,1
24,924643.0,3112.0,1611.0,11.9,11.0,14.8,88.8,1.44,2.0,0,1
25,765083.0,2400.0,1380.0,5.3,34.0,7.3,90.6,1.77,2.0,0,1
26,760604.0,2040.0,1276.0,43.7,17.0,11.5,91.2,1.33,2.0,0,1
27,989445.0,3019.0,1007.0,31.9,2.0,10.5,94.1,1.15,2.0,0,1
28,630105.0,1510.0,387.0,65.9,74.5,0.8,93.0,1.39,2.0,0,1
29,909666.0,2526.0,762.0,6.0,10.0,13.7,95.5,1.79,2.0,0,1
30,802797.0,1605.0,1010.0,35.4,30.0,8.9,95.0,1.22,2.0,0,1
31,734581.0,1569.0,975.0,4.7,28.0,0.5,90.3,1.45,2.0,0,1
32,968084.0,1997.0,257.0,1.4,24.0,3.5,90.5,0.6,2.0,0,1
33,641078.0,1097.0,265.0,58.3,4.0,11.3,90.9,1.48,2.0,0,1
34,829803.0,1597.0,816.0,25.8,4.0,5.9,92.9,1.41,2.0,0,1
35,713338.0,1778.0,1187.0,23.2,8.0,1.4,93.9,1.91,2.0,0,1
36,643512.0,1196.0,674.0,51.1,18.0,2.3,94.0,1.35,2.0,0,1
37,1030986.0,2342.0,1302.0,25.4,23.0,4.5,89.5,0.91,2.0,0,1
38,921570.0,2941.0,1268.0,30.8,25.0,10.6,96.7,1.84,2.0,0,1
39,774707.0,1273.0,645.0,51.3,17.0,3.8,97.5,1.28,2.0,0,1
40,730762.0,1864.0,852.0,28.5,8.0,10.0,94.6,1.32,2.0,0,1
41,699679.0,1509.0,876.0,23.3,3.0,8.7,87.8,1.62,1.0,0,1
42,907689.0,2125.0,840.0,7.7,10.0,2.5,93.4,0.73,2.0,0,1
43,852351.0,2393.0,624.0,19.2,52.0,12.4,89.9,1.49,2.0,0,1
44,746113.0,1997.0,845.0,53.8,43.0,5.7,94.1,1.74,2.0,0,1
45,698625.0,2371.0,794.0,27.3,5.0,1.0,96.3,2.08,1.0,0,1
46,845003.0,1351.0,847.0,11.7,15.0,6.3,94.8,1.42,2.0,0,1
47,426241.0,1318.0,200.0,50.7,36.0,17.0,90.8,1.3,2.0,0,1
48,660796.0,1353.0,489.0,43.8,14.0,1.2,92.4,1.19,2.0,0,1
49,726904.0,1665.0,523.0,1.3,23.0,23.55,94.9,1.24,2.0,0,1
50,696679.0,1059.0,934.0,25.6,64.0,4.2,96.3,1.6,2.0,0,1
51,647672.0,1540.0,210.0,29.5,74.5,14.4,87.4,1.13,2.0,0,1
52,794798.0,1940.0,895.0,19.5,8.0,10.5,93.2,1.47,2.0,0,1
53,732701.0,1912.0,316.0,33.2,22.0,5.0,89.5,1.58,2.0,0,1
54,697547.0,1321.0,1000.0,25.0,20.0,2.0,93.8,1.49,2.0,0,1
55,1024985.0,2040.0,1296.0,37.2,7.0,4.8,95.9,1.67,1.0,0,1
56,938766.0,2603.0,812.0,12.6,14.0,2.3,91.1,1.49,2.0,0,1
57,1018102.0,2156.0,1123.0,50.4,9.0,4.0,90.6,1.64,2.0,0,1
58,973771.0,2678.0,614.0,48.2,5.0,3.6,93.5,1.65,2.0,0,1
59,1009054.0,2514.0,1305.0,18.5,0.0,1.0,89.6,1.17,2.0,0,1
60,531479.0,1024.0,200.0,31.3,46.0,3.6,88.5,1.46,2.0,0,1
61,533967.0,1234.0,212.0,37.9,41.0,3.5,83.54999999999998,1.64,2.0,0,1
62,756476.0,1401.0,200.0,23.9,1.0,0.8,91.8,1.72,2.0,0,1
63,777411.0,2283.0,806.0,64.2,29.0,3.1,94.3,1.12,2.0,0,1
64,791544.0,1433.0,455.0,0.9,10.0,2.3,91.8,1.47,2.0,0,1
65,704515.0,1729.0,582.0,5.2,0.0,18.4,89.8,1.72,2.0,0,1
66,571393.0,1524.0,668.0,36.6,49.0,16.2,87.7,0.96,1.0,0,1
67,720999.0,2074.0,200.0,61.1,2.0,4.1,88.3,1.18,2.0,0,1
68,1192506.0,3566.625,1172.0,12.4,74.5,12.2,96.1,0.74,2.0,0,1
69,769180.0,1519.0,365.0,20.7,13.0,4.5,89.0,1.36,2.0,0,1
70,670905.0,1405.0,200.0,17.2,29.0,15.3,95.7,2.26,2.0,0,1
71,952063.0,3187.0,1029.0,14.1,21.0,12.5,94.7,1.6,2.0,0,1
72,553488.0,1091.0,200.0,10.5,5.0,22.1,94.3,1.3,1.0,0,1
73,1018358.0,2981.0,1567.0,9.9,57.0,1.5,97.9,1.59,2.0,0,1
74,522089.0,1277.0,219.0,13.9,1.0,10.8,93.2,1.34,1.0,0,1
75,809039.0,2116.0,200.0,10.7,3.0,12.1,92.3,1.9,2.0,0,1
76,915554.0,2269.0,831.0,14.4,3.0,5.0,98.6,1.83,2.0,0,1
77,1144689.0,3136.0,802.0,19.3,30.0,7.3,91.9,1.51,2.0,0,1
78,1127604.0,3566.625,1398.0,5.3,14.0,1.4,90.3,1.96,1.0,0,1
79,776804.0,2212.0,911.0,23.2,37.0,7.7,89.2,0.92,2.0,0,1
80,697301.0,1515.0,648.0,28.0,7.0,4.9,92.7,1.14,1.0,0,1
81,723083.0,1464.0,200.0,12.0,15.0,10.7,94.2,1.81,2.0,0,1
82,868054.0,2004.0,453.0,7.8,29.0,2.0,89.0,1.27,2.0,0,1
