Business ID,Business State,Total Long-term Debt,Total Equity,Debt to Equity,Total Liabilities,Total Revenue,Profit Margin
726076597,Alabama,445061.52,2893026.13,0.15,3753563.68,6054735.02,0.93
165365337,Montana,5592213.55,9933652.59,0.56,9530630.35,714833.95,0.48
618011676,Delaware,1932069.13,4808866.44,0.40,9462325.86,438539.82,0.53
425000967,Minnesota,3557010.10,1642178.45,2.17,9623278.75,8732140.37,0.14
289433882,Indiana,9477883.81,6942758.12,1.37,9878493.86,8903770.44,0.78
113248531,California,6507490.57,2695290.24,2.41,5819738.35,6232710.61,0.13
278979212,Mississippi,3401002.37,5523359.54,0.62,8179210.42,9579174.02,0.89
723214056,Montana,1260866.90,9415272.93,0.13,3740496.03,514508.47,0.51
844434343,Michigan,2955963.50,2577739.80,1.15,9331360.04,1523781.56,0.97
240952777,Idaho,349543.15,7346822.52,0.05,1778834.62,489630.39,0.87
905635555,Utah,5532830.81,6340159.30,0.87,329120.56,3369123.94,0.80
704547939,Pennsylvania,6106813.18,4523919.75,1.35,4144759.21,1418954.08,0.32
667405963,Missouri,1200317.33,4902936.54,0.24,3139174.54,650555.93,0.70
669009665,Kansas,4378900.46,6078854.34,0.72,3333188.05,7350391.31,0.64
406263273,Alabama,8075235.91,8296102.37,0.97,1433061.29,4909966.14,0.88
300810688,Montana,545037.34,6447982.91,0.08,7196078.71,5401241.97,0.62
547086365,Colorado,9578935.03,91234.64,104.99,5808968.53,8272042.39,0.38
911651142,Illinois,238671.48,612453.42,0.39,6040728.23,3501939.58,0.98
759779156,Delaware,2361233.81,5065521.08,0.47,627474.68,1125162.18,0.39
22173604,Pennsylvania,2820564.37,4130784.11,0.68,9532797.77,9445397.76,0.85
303801984,Florida,613361.26,9000118.63,0.07,5942102.76,8301961.54,0.63
904876974,Ohio,9576433.60,8782016.62,1.09,8501501.92,2427252.04,0.64
461110965,Montana,9189586.83,4297725.16,2.14,991660.84,6987565.33,0.89
96024950,Florida,9479561.61,1016710.41,9.32,2876956.27,3753431.18,0.48
937395558,Colorado,7315989.09,3287958.03,2.23,2979858.00,9717775.49,0.81
400917020,Wisconsin,5017414.92,5904833.99,0.85,4017649.67,8317139.86,0.06
377397939,Florida,8536590.56,5226912.93,1.63,9927767.29,731019.28,0.41
293856678,Wisconsin,7350062.67,3593661.73,2.05,421444.69,9752015.80,0.23
217669769,Massachusetts,6186356.73,987841.29,6.26,7014798.77,3932820.83,0.87
157742927,Maine,6699022.86,8980237.29,0.75,1229369.68,9754024.88,0.90
170851742,Pennsylvania,5102039.81,8602454.13,0.59,2169675.69,3849339.84,0.80
211048042,Missouri,8822638.97,1503297.74,5.87,1221950.28,3586484.49,0.54
432550007,Alabama,5094147.43,3319659.81,1.53,9669535.38,6359007.48,0.88
968656907,Massachusetts,7333521.50,8539389.00,0.86,3201002.39,2434658.02,0.46
83195775,Arkansas,1272231.19,3017082.34,0.42,3815817.93,4937111.76,0.65
98991693,Minnesota,8865463.36,3463965.76,2.56,4411506.86,8179068.95,0.46
419850683,Louisiana,8693164.60,8320833.87,1.04,714985.91,6338029.29,0.41
986868575,Arkansas,5479653.37,5209986.32,1.05,3174495.93,1815627.95,0.29
406344461,Oklahoma,1787667.20,6884595.60,0.26,4709337.09,4823085.34,0.19
316795707,Illinois,3501820.49,31593.05,110.84,2347208.22,667851.75,0.38
247843697,Wisconsin,9015978.03,2589958.45,3.48,6293241.55,7097388.61,0.37
314658798,Arizona,896096.52,6833061.12,0.13,7857678.40,2718406.06,0.48
618766996,Delaware,756297.88,7264531.28,0.10,4186619.61,2840384.13,0.16
771870675,Florida,3053436.15,5965518.10,0.51,1819594.99,9321182.41,0.36
548811197,Colorado,8097066.99,3478656.29,2.33,819768.80,259377.47,0.11
266367098,Hawaii,1777287.02,2664478.32,0.67,7547020.61,2089701.67,0.36
148042010,Alaska,4935459.75,5626325.36,0.88,6906690.25,4334845.21,0.20
322617916,Delaware,4928102.93,2489060.72,1.98,2565877.18,5477344.24,0.47
531078039,Wisconsin,712177.89,6975681.33,0.10,57788.17,2318907.89,0.55
845941472,Nevada,9931998.05,6355001.72,1.56,9046172.15,4007878.81,0.48
208215645,Michigan,7873174.26,6200327.91,1.27,4389437.93,3794095.11,0.65
16647375,Alaska,2136032.68,3989909.98,0.54,7632797.96,5029654.61,0.76
704073801,Ohio,4896162.58,5034717.57,0.97,8551489.18,4423363.32,0.71
732320153,Arizona,3660246.50,3260795.43,1.12,7802777.13,8768954.93,0.06
839788132,Nebraska,4970326.24,7833472.05,0.63,3545182.97,4670875.34,0.18
102135537,Connecticut,2635590.44,211870.08,12.44,2118659.29,3436662.42,0.63
711636468,California,9302349.86,2418625.91,3.85,1434547.44,2862263.06,0.88
708631379,Montana,8821344.30,6322491.37,1.40,7784008.06,8527462.46,0.09
886637841,Wisconsin,5391278.72,1685087.22,3.20,728926.63,4429726.21,0.26
830401098,Idaho,4444415.31,8272098.91,0.54,1435170.70,4608814.84,0.15
40981418,Massachusetts,9076413.50,5724525.78,1.59,5885483.00,6729801.76,0.64
