EmployeeNumber,Age,Tenure,Turnover,HourlyRate ,HoursWeekly,CompensationType,AnnualSalary,DrivingCommuterDistance,JobRoleArea,Gender,MaritalStatus,NumCompaniesPreviouslyWorked,AnnualProfessionalDevHrs,PaycheckMethod,TextMessageOptIn
13193,22,19,No,$76.84 ,40,Salary,"$215,016.37 ",-236,Human_Resources,Male,Single,8,16,Mail Check,Yes
13245,54,40,No,$25.38 ,40,Salary,"($8,471.17)",-477,Human_Resources,Prefer Not to Answer,Divorced,1,8,Mail Check,No
13058,49,8,No,$80.83 ,40,Salary,"($407,954.62)",343,Sales,Male,Single,3,20,DirectDeposit,Yes
17114,51,31,Yes,$49.72 ,40,Salary,"$435,098.54 ",457,Research,Prefer Not to Answer,Married,4,4,Mail_Check,N/A
16994,47,23,Yes,$58.24 ,40,Salary,"($43,563.57)",472,Marketing,Male,Single,8,23,Direct Deposit,Yes
22516,52,13,Yes,$54.88 ,40,Salary,"($177,208.83)",-38,Information Technology,Female,Married,1,5,Direct Deposit,N/A
11517,26,44,No,$27.38 ,40,Salary,"$15,345.28 ",-259,Information_Technology,Male,Single,9,4,DirectDeposit,Yes
15526,24,12,No,$75.03 ,40,Salary,"($249,800.28)",-277,Sales,Male,Single,3,N/A,Direct_Deposit,No
29037,55,32,No,$31.69 ,40,Salary,"$47,792.51 ",434,Marketing,Female,Single,3,17,Mailed Check,Yes
14427,49,36,No,$28.56 ,40,Salary,"($483,673.52)",-459,Manufacturing,Male,Single,7,24,MailedCheck,Yes
26251,58,22,Yes,$38.69 ,40,Salary,"$271,230.76 ",-429,Laboratory,Prefer Not to Answer,Single,7,2,MailedCheck,Yes
24511,60,31,No,$84.82 ,40,Salary,"$35,285.45 ",-148,InformationTechnology,Female,Single,3,13,Direct Deposit,N/A
15719,25,43,Yes,$25.20 ,40,Salary,"($90,869.67)",-274,InformationTechnology,Female,Married,7,13,Direct_Deposit,Yes
17082,47,8,Yes,$46.64 ,40,Salary,"$307,142.95 ",-243,Healthcare,Female,Single,4,16,DirectDeposit,N/A
25224,36,11,Yes,$85.96 ,40,Salary,"($281,318.90)",-284,Research,Female,Married,7,10,Direct_Deposit,N/A
26906,30,11,Yes,$55.19 ,40,Salary,"($196,432.57)",367,HumanResources,Female,Married,8,5,Mailed Check,N/A
26930,49,7,Yes,$76.94 ,40,Salary,"($407,274.73)",-229,Healthcare,Female,Married,N/A,N/A,Mailed Check,Yes
14916,21,34,No,$70.81 ,40,Salary,"$116,428.77 ",-53,Marketing,Female,Married,9,12,Direct_Deposit,No
22966,44,42,Yes,$43.34 ,40,Salary,"$244,215.99 ",205,InformationTechnology,Female,Married,8,6,Direct Deposit,No
11137,47,15,Yes,$78.03 ,40,Salary,"($274,238.40)",-74,HumanResources,Prefer Not to Answer,Married,8,14,Mail Check,Yes
10772,50,21,Yes,$40.44 ,40,Salary,"$91,136.77 ",182,Laboratory,Male,Single,4,6,Direct_Deposit,No
19243,59,31,Yes,$67.56 ,40,Salary,"($52,098.31)",344,Human_Resources,Male,Married,6,17,MailedCheck,No
29826,33,11,No,$93.64 ,40,Salary,"$217,885.41 ",79,Healthcare,Prefer Not to Answer,Married,7,13,DirectDeposit,Yes
13529,34,24,Yes,$77.71 ,40,Salary,"($304,717.89)",-365,Sales,Male,Married,9,25,Mail_Check,No
29853,36,45,Yes,$71.71 ,40,Salary,"($66,029.01)",221,Manufacturing,Prefer Not to Answer,Divorced,6,19,MailedCheck,Yes
22558,64,15,No,$29.01 ,40,Salary,"($67,095.66)",126,Healthcare,Male,Single,3,18,Direct Deposit,N/A
27143,30,36,No,$44.91 ,40,Salary,"$219,393.99 ",408,Human_Resources,Female,Single,4,8,MailedCheck,N/A
11856,45,23,Yes,$39.26 ,40,Salary,"($30,094.94)",279,Sales,Prefer Not to Answer,Single,N/A,22,Mail Check,No
23039,52,38,Yes,$86.18 ,40,Salary,"($331,944.65)",40,Human Resources,Male,Married,1,10,Mailed Check,Yes
18430,52,12,Yes,$66.43 ,40,Salary,"$261,548.38 ",-414,Human_Resources,Prefer Not to Answer,Single,3,1,Direct Deposit,No
29970,65,43,No,$95.34 ,40,Salary,"($179,303.61)",-397,Human_Resources,Male,Married,5,23,Mail Check,Yes
17949,46,13,No,$74.16 ,40,Salary,"$438,414.25 ",-51,Research,Prefer Not to Answer,Married,2,16,Mailed Check,Yes
17696,25,30,No,$42.20 ,40,Salary,"$52,967.52 ",120,Manufacturing,Prefer Not to Answer,Single,8,2,Mail Check,Yes
10031,59,16,Yes,$43.36 ,40,Salary,"$75,085.49 ",118,Sales,Prefer Not to Answer,Single,2,20,Direct_Deposit,Yes
16888,65,34,No,$76.36 ,40,Salary,"$371,424.37 ",477,Manufacturing,Female,Divorced,6,15,Direct Deposit,N/A
26882,37,12,No,$66.53 ,40,Salary,"($373,700.49)",-292,Human_Resources,Prefer Not to Answer,Single,4,20,DirectDeposit,Yes
19738,40,15,No,$23.09 ,40,Salary,"$483,363.11 ",102,Marketing,Male,Divorced,2,15,MailedCheck,Yes
25149,31,25,No,$81.09 ,40,Salary,"$168,461.00 ",-101,HumanResources,Male,Married,8,10,Mail Check,N/A
26038,33,10,Yes,$51.39 ,40,Salary,"($308,926.00)",-224,Human Resources,Female,Divorced,9,15,DirectDeposit,Yes
29420,44,39,No,$53.89 ,40,Salary,"($371,547.28)",50,Manufacturing,Prefer Not to Answer,Single,4,15,Mail_Check,Yes
26852,20,38,Yes,$49.43 ,40,Salary,"$274,234.53 ",-316,InformationTechnology,Female,Divorced,2,16,Direct Deposit,Yes
17298,52,3,No,$94.94 ,40,Salary,"($279,033.33)",-282,Laboratory,Female,Married,3,5,Mailed Check,N/A
19049,42,35,No,$78.87 ,40,Salary,"$91,285.88 ",132,Human Resources,Prefer Not to Answer,Single,N/A,4,DirectDeposit,Yes
14819,57,25,Yes,$18.85 ,40,Salary,"$482,814.27 ",356,Laboratory,Prefer Not to Answer,Married,1,20,Mail Check,No
17121,23,14,Yes,$22.63 ,40,Salary,"$49,544.39 ",-51,Information_Technology,Male,Single,7,3,Mail_Check,Yes
18533,47,42,Yes,$31.81 ,40,Salary,"($367,946.64)",-175,Sales,Prefer Not to Answer,Single,5,13,Mail Check,N/A
15595,48,19,Yes,$35.52 ,40,Salary,"$182,712.21 ",67,Marketing,Male,Single,4,4,Mail Check,Yes
11035,38,3,Yes,$68.79 ,40,Salary,"($405,693.08)",-201,Sales,Male,Married,4,4,Mailed Check,Yes
19008,48,14,No,$87.90 ,40,Salary,"$79,337.85 ",-82,Sales,Female,Divorced,1,19,DirectDeposit,Yes
17588,40,39,Yes,$36.11 ,40,Salary,"$114,579.43 ",434,Human_Resources,Female,Divorced,6,16,DirectDeposit,N/A
21071,28,37,No,$61.61 ,40,Salary,"$329,536.16 ",50,Research,Prefer Not to Answer,Divorced,4,3,Mail Check,N/A
12229,19,28,No,$17.75 ,40,Salary,"$316,073.61 ",326,Manufacturing,Female,Single,1,21,Mail_Check,No
28075,37,14,No,$18.00 ,40,Salary,"($173,605.90)",-325,Sales,Male,Married,4,1,Mail Check,No
13001,33,1,No,$87.90 ,40,Salary,"($384,595.40)",86,Information Technology,Prefer Not to Answer,Divorced,5,23,DirectDeposit,Yes
18556,30,2,Yes,$99.10 ,40,Salary,"$441,341.25 ",-473,Laboratory,Female,Divorced,4,24,Mail_Check,N/A
26353,24,2,Yes,$43.24 ,40,Salary,"($398,411.81)",309,Manufacturing,Female,Married,9,1,Mail Check,No
