ID,Price,SquareFootage,NumBathrooms,NumBedrooms,BackyardSpace,CrimeRate,SchoolRating,AgeOfHome,DistanceToCityCenter,EmploymentRate,PropertyTaxRate,RenovationQualityRate,LocalAmenities,TransportAccess,Fireplace,HouseColor,Garage,Floors,Windows,PreviousSalePrice,IsLuxury
7,1159515,3128,2,1,1024,59.9,9,7,2.2,98.3,1.12,1,10,6,No,white,Yes,3,49,1158.4205,0
8,875266,2355,5,6,1167,18.3,7.4,3,13.3,92.1,1.11,3,1,3,No,white,Yes,2,11,83.0205,1
9,837353,1527,2,1,641,32.6,9.4,59,3.5,91.9,1.29,7,7,1,No,red,Yes,2,52,125.7705,1
11,731908,1530,4,1,655,7.3,9.6,14,12.4,88.9,1.73,1,6,10,No,red,Yes,2,50,969.3705,0
12,655974,1529,6,1,200,14.7,5.4,86,0.6,96,1.48,2,7,6,No,blue,Yes,3,47,832.5705,1
17,752062,1263,6,5,200,12,8.1,16,9.2,97,0.99,8,3,10,No,red,Yes,2,59,1065.3205,1
18,894405,2009,4,2,446,33.3,9.1,100,7.4,94.1,1.02,5,4,5,No,green,Yes,2,55,1353.1705,0
20,489144,1098,1,2,617,38,6.1,29,22.2,95.3,0.91,10,9,6,No,red,Yes,2,-2,1106.1705,1
21,939106,3006,1,6,1118,65,7.5,6,4.5,89,1.35,7,9,2,No,blue,Yes,2,35,236.9205,0
24,676530,1093,3,2,691,32.1,7.8,21,18.3,89.9,1.54,6,10,9,No,white,Yes,1,-6,1406.3705,0
26,811811,1871,3,4,898,21.2,8.6,52,2.9,89.9,1.28,5,10,7,No,white,Yes,3,7,1388.3205,1
32,1063306,3442,2,6,1121,36.6,7.8,31,5.5,89.4,1.96,4,7,1,No,blue,Yes,3,55,1131.8205,1
38,571257,907,4,7,789,40.1,8.9,4,17.1,95.8,1.73,6,9,5,No,white,Yes,2,13,742.3205,1
39,706742,1131,5,3,667,15.9,9.6,64,1.1,95,1.88,5,6,1,No,red,Yes,2,58,429.7705,1
42,713724,1911,5,1,772,11.7,5.8,41,4.2,91.2,1.63,2,4,2,No,red,Yes,3,24,249.2705,0
46,628561,1399,2,5,200,49.6,7.2,8,8.1,96.1,1.73,4,4,1,No,red,Yes,2,34,361.3705,1
49,747989,2030,1,2,643,8.6,6.8,3,8,99,1.55,6,4,3,No,red,Yes,2,6,1379.7705,1
53,709337,1420,2,6,472,5.9,8.8,100,3.9,95,1.32,1,7,3,No,green,Yes,1,27,108.6705,1
59,939381,2021,6,3,200,13.7,9,15,1.9,90.8,1.42,7,9,10,No,green,Yes,3,44,1297.1205,1
60,873632,2533,5,6,1290,51.4,9.9,22,2.7,95.1,1.65,7,4,10,No,red,Yes,2,63,1238.2205,0
63,567004,1222,4,5,568,40.6,5.5,10,3.1,89.8,1.27,4,5,2,No,blue,Yes,2,50,328.1205,0
66,1098366,2894,2,7,884,18.1,8.7,3,12.4,89,1.81,1,10,4,No,yellow,Yes,2,20,871.5205,1
68,1087644,2557,2,4,1096,14.1,8.7,10,0.9,98.5,1.32,2,4,1,No,blue,Yes,1,58,232.1705,1
69,807668,2043,6,1,1237,37,9.1,17,13.5,96.4,1.33,2,3,3,No,green,Yes,2,54,514.3205,1
