,Total Long-term Debt,Total Long-term Debt,Total Long-term Debt,Total Long-term Debt,Total Equity,Total Equity,Total Equity,Total Equity,Debt to Equity,Debt to Equity,Debt to Equity,Debt to Equity,Total Liabilities,Total Liabilities,Total Liabilities,Total Liabilities,Total Revenue,Total Revenue,Total Revenue,Total Revenue,Profit Margin,Profit Margin,Profit Margin,Profit Margin
,mean,median,min,max,mean,median,min,max,mean,median,min,max,mean,median,min,max,mean,median,min,max,mean,median,min,max
Business State,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,4931165.922,5094147.43,445061.52,8075235.91,4946119.778,3319659.81,2285238.44,8296102.37,1.004,0.99,0.15,1.53,4397168.854,3753563.68,836241.27,9669535.38,5794423.074,6054735.02,2903195.17,8745211.56,0.8220000000000001,0.88,0.65,0.93
Alaska,6106299.202500001,6450485.62,2136032.68,9388192.89,3400091.9025,2996753.015,1980536.22,5626325.36,2.5324999999999998,2.4499999999999997,0.54,4.69,5955335.86,5975420.125,4237705.23,7632797.96,6569500.1075,6092398.735,4334845.21,9758357.75,0.5,0.52,0.2,0.76
Arizona,4844419.403333333,3660246.5,896096.52,9976915.19,5356048.613333333,5974289.29,3260795.43,6833061.12,0.9733333333333333,1.12,0.13,1.67,7664539.850000001,7802777.13,7333164.02,7857678.4,7058714.78,8768954.93,2718406.06,9688783.35,0.3466666666666667,0.48,0.06,0.5
Arkansas,3375942.2800000003,3375942.2800000003,1272231.19,5479653.37,4113534.33,4113534.33,3017082.34,5209986.32,0.735,0.735,0.42,1.05,3495156.93,3495156.93,3174495.93,3815817.93,3376369.855,3376369.855,1815627.95,4937111.76,0.47,0.47,0.29,0.65
California,6097055.899999999,6507490.57,2481327.27,9302349.86,3126693.6333333333,2695290.24,2418625.91,4266164.75,2.28,2.41,0.58,3.85,3870144.7733333334,4356148.53,1434547.44,5819738.35,3741303.356666667,2862263.06,2128936.4,6232710.61,0.6066666666666667,0.81,0.13,0.88
Colorado,8170127.38,8097066.99,6510722.53,9578935.03,3668421.2600000002,3287958.03,91234.64,9767030.65,22.86,2.33,0.96,104.99,3126602.896,2979858.0,819768.8,5808968.53,5203784.0600000005,6326798.55,259377.47,9717775.49,0.562,0.67,0.11,0.84
Connecticut,2241090.4133333336,2635590.44,734300.14,3353380.66,5476307.626666666,6785375.97,211870.08,9431676.83,4.303333333333334,0.36,0.11,12.44,3419797.61,2118659.29,1534390.29,6606343.25,4130347.4666666663,4470918.71,3436662.42,4483461.27,0.7266666666666666,0.63,0.58,0.97
Delaware,4703360.955714286,4928102.93,756297.88,8654863.0,5179301.107142857,4808866.44,2489060.72,9690296.74,1.2342857142857144,0.76,0.1,3.34,4197767.1157142855,4186619.61,627474.68,9462325.86,2894855.227142857,1626835.52,438539.82,7691837.6,0.49000000000000005,0.47,0.16,0.93
Florida,5809241.377142857,5812026.8,613361.26,9479561.61,4809979.884285714,5470119.12,893136.59,9000118.63,3.165714285714286,1.06,0.07,9.32,4966430.895714285,4910655.75,1505832.37,9927767.29,5876150.547142857,5727982.51,731019.28,9321182.41,0.4757142857142857,0.48,0.36,0.63
Georgia,5116559.553333334,5060776.29,2249965.05,8038937.32,3420242.75,2090817.24,747209.6,7422701.41,2.51,3.01,0.68,3.84,2535204.92,787998.32,741720.35,6075896.09,6335706.94,7395056.89,2060402.72,9551661.21,0.6566666666666667,0.78,0.26,0.93
Hawaii,2654620.4433333334,1777287.02,1017188.84,5169385.47,4153277.2266666666,2941415.2,2664478.32,6853938.16,0.86,0.67,0.15,1.76,6519960.053333334,7089473.24,4923386.31,7547020.61,3164136.6233333335,2284929.72,2089701.67,5117778.48,0.24666666666666667,0.2,0.18,0.36
Idaho,1709689.3733333333,349543.15,335109.66,4444415.31,6193401.553333334,7346822.52,2961283.23,8272098.91,0.23333333333333336,0.11,0.05,0.54,1086453.0433333332,1435170.7,45353.81,1778834.62,4096828.2099999995,4608814.84,489630.39,7192039.4,0.52,0.54,0.15,0.87
Illinois,4388691.802,3798635.36,238671.48,8854099.15,3463218.6380000003,2676462.11,31593.05,7943544.67,23.008000000000003,1.11,0.39,110.84,4266587.720000001,3958967.9,1701773.69,7284260.56,4878377.074,4081533.75,667851.75,9003730.4,0.44800000000000006,0.38,0.16,0.98
Indiana,7739080.55,9477883.81,4052631.14,9686726.7,6105067.943333334,6942758.12,2487827.35,8884618.36,1.3633333333333333,1.37,1.09,1.63,7038721.566666666,6527223.7,4710447.14,9878493.86,5000872.233333333,3572147.46,2526698.8,8903770.44,0.7799999999999999,0.78,0.58,0.98
Iowa,4489555.77,4489555.77,1999767.13,6979344.41,5529961.68,5529961.68,4298832.36,6761091.0,0.9600000000000001,0.9600000000000001,0.3,1.62,8641916.129999999,8641916.129999999,7450039.74,9833792.52,4732210.765,4732210.765,1366074.32,8098347.21,0.715,0.715,0.44,0.99
Kansas,3682354.65,3360845.965,263416.27,7730167.19,5407362.783333333,5303819.055,1026002.93,9071070.65,1.4383333333333332,0.49,0.06,5.57,5260322.816666666,4787426.890000001,1835214.6,9937903.33,4260076.638333333,3945873.52,2475313.3,7350391.31,0.47333333333333333,0.56,0.03,0.84
Kentucky,6816534.495,6816534.495,6180333.23,7452735.76,3925734.3449999997,3925734.3449999997,3426905.26,4424563.43,1.74,1.74,1.68,1.8,7539980.300000001,7539980.300000001,6224477.96,8855482.64,4024543.415,4024543.415,2317995.78,5731091.05,0.7949999999999999,0.7949999999999999,0.62,0.97
Louisiana,8693164.6,8693164.6,8693164.6,8693164.6,8320833.87,8320833.87,8320833.87,8320833.87,1.04,1.04,1.04,1.04,714985.91,714985.91,714985.91,714985.91,6338029.29,6338029.29,6338029.29,6338029.29,0.41,0.41,0.41,0.41
