,SquareFootage_capped,BackyardSpace_capped,CrimeRate_capped,AgeOfHome_capped,DistanceToCityCenter_capped,EmploymentRate_capped,PropertyTaxRate_capped,SchoolRating_Encoded,Fireplace_Encoded,Garage_Encoded
6317,1864.0,200.0,58.5,1.0,0.8,93.4,1.16,2.0,0,0
740,1196.0,234.0,52.3,53.0,18.2,97.0,1.19,2.0,0,1
3781,2065.0,1711.0,48.7,6.0,10.1,90.3,1.24,2.0,1,1
7850,2039.0,507.0,27.6,43.0,1.9,90.1,1.76,2.0,1,0
2963,1680.0,209.0,33.8,2.0,5.2,89.6,1.71,2.0,1,1
6808,2361.0,738.0,45.7,53.0,5.2,95.9,0.94,2.0,0,0
3960,1694.0,1267.0,14.2,51.0,12.3,97.6,1.13,2.0,1,1
5308,1004.0,579.0,39.9,72.0,4.5,99.0,1.57,2.0,0,1
3395,2346.0,472.0,8.5,18.0,2.0,98.6,1.25,2.0,1,1
2485,1992.0,791.0,6.7,17.0,1.3,86.6,1.12,2.0,0,1
5033,3566.625,1153.0,5.4,74.5,23.55,90.6,1.71,2.0,0,1
4568,1400.0,703.0,6.0,29.0,1.6,90.2,1.19,2.0,0,1
4374,2244.0,861.0,35.2,12.0,23.55,88.5,1.59,2.0,1,1
4139,1934.0,848.0,53.5,74.5,15.6,94.4,1.82,2.0,1,1
2094,1641.0,535.0,35.1,13.0,4.3,95.3,1.49,2.0,0,1
435,2542.0,1007.0,44.5,18.0,12.7,90.0,0.91,2.0,0,1
5360,1833.0,753.0,36.9,15.0,0.7,96.4,1.26,2.0,0,1
5999,1410.0,1032.0,22.8,36.0,1.6,89.6,1.36,2.0,0,1
308,1607.0,987.0,48.3,27.0,0.5,98.6,1.64,2.0,0,1
8829,2240.0,1263.0,31.0,73.0,1.0,94.8,1.08,2.0,1,0
8809,1578.0,336.0,24.9,19.0,1.5,95.2,1.41,2.0,1,0
4126,1780.0,949.0,11.3,1.0,1.9,85.7,0.87,2.0,1,1
87,2243.0,997.0,9.2,61.0,0.5,97.6,0.82,2.0,0,1
3320,1829.0,445.0,16.0,21.0,23.55,87.0,1.07,2.0,1,1
2897,1336.0,368.0,10.1,12.0,21.0,99.0,1.32,2.0,1,1
401,3566.625,1572.0,26.9,69.0,23.5,94.7,0.91,2.0,0,1
4180,1379.0,200.0,36.4,14.0,12.5,93.2,1.66,2.0,1,1
1020,2434.0,1030.0,32.3,15.0,2.5,97.2,1.33,2.0,0,1
881,1452.0,282.0,20.2,19.0,15.5,93.5,1.75,2.0,0,1
2592,896.0,498.0,38.5,7.0,7.0,93.4,1.85,1.0,0,1
6510,1562.0,297.0,33.2,50.0,9.1,89.2,1.39,2.0,0,0
5733,2539.0,1312.0,47.2,65.0,0.5,90.3,2.15,2.0,0,1
6662,1810.0,462.0,14.5,0.0,1.6,91.8,1.32,2.0,0,0
6984,3566.625,842.0,34.1,9.0,23.55,94.8,1.1,2.0,0,0
6870,2741.0,1124.0,62.6,2.0,0.5,91.6,0.62,2.0,0,0
7308,1121.0,200.0,27.0,11.0,7.3,94.6,0.77,2.0,1,0
6040,2434.0,867.0,44.6,74.0,10.2,99.0,2.09,2.0,0,0
257,1034.0,200.0,8.5,35.0,3.3,87.5,1.81,2.0,0,1
4475,3138.0,1373.0,7.7,1.0,6.7,96.7,0.88,2.0,1,1
288,1644.0,845.0,62.5,20.0,2.4,98.6,1.15,2.0,0,1
8035,2227.0,873.0,40.6,22.0,7.7,96.0,1.23,2.0,1,0
7792,978.0,264.0,12.8,34.0,3.0,92.8,1.71,2.0,1,0
6435,2506.0,1442.0,47.7,23.0,16.8,97.0,1.23,2.0,0,0
4198,2459.0,551.0,30.8,72.0,2.3,95.3,1.2,2.0,1,1
8224,1359.0,601.0,31.2,29.0,5.1,89.7,1.41,2.0,1,0
5660,1228.0,748.0,47.7,31.0,17.7,91.4,0.96,2.0,0,1
4686,1376.0,358.0,18.5,25.0,3.1,94.8,1.16,2.0,0,1
4871,2765.0,1217.0,25.6,8.0,1.3,89.1,1.46,2.0,0,1
7615,2325.0,862.0,40.9,55.0,4.9,92.2,1.75,2.0,1,0
737,2785.0,1563.0,30.9,35.0,6.8,92.4,1.33,2.0,0,1
4696,1059.0,536.0,35.2,42.0,0.5,92.3,1.18,2.0,0,1
7397,2565.0,1083.0,28.3,49.0,1.7,98.0,1.73,2.0,1,0
5274,855.0,200.0,20.0,5.0,3.9,94.7,1.89,2.0,0,1
1817,1251.0,200.0,22.2,21.0,13.8,92.1,1.91,2.0,0,1
8687,3566.625,794.0,11.0,5.0,3.7,90.4,1.42,2.0,1,0
543,1524.0,240.0,35.2,3.0,5.4,94.2,1.89,1.0,0,1
4929,1828.0,1073.0,23.6,28.0,3.7,91.0,1.89,2.0,0,1
7978,1889.0,1340.0,33.7,2.0,10.2,92.2,0.72,2.0,1,0
4123,1533.0,803.0,63.7,74.5,6.0,89.4,1.45,2.0,1,1
4415,3002.0,1031.0,12.1,8.0,0.5,96.8,0.83,2.0,1,1
5862,3246.0,1325.0,9.0,34.0,2.0,88.6,1.68,2.0,0,1
8541,2958.0,1260.0,24.5,14.0,2.7,94.5,1.6,2.0,1,0
1839,2038.0,381.0,28.7,4.0,0.8,90.0,1.42,2.0,0,1
2344,909.0,200.0,25.4,74.5,1.6,92.9,1.6,2.0,0,1
4334,2488.0,884.0,38.9,64.0,0.5,95.1,1.45,2.0,1,1
2133,1179.0,200.0,22.6,17.0,23.55,95.3,0.79,2.0,0,1
6188,1088.0,1265.0,24.7,57.0,5.8,98.9,1.1,2.0,0,0
2029,1064.0,200.0,27.3,1.0,16.6,90.8,1.63,2.0,0,1
2948,1880.0,1268.0,27.4,17.0,1.1,92.6,1.14,2.0,1,1
800,2063.0,607.0,36.3,41.0,1.3,91.0,1.95,2.0,0,1
6231,1631.0,307.0,34.3,8.0,14.8,96.7,1.32,2.0,0,0
1405,1295.0,392.0,40.0,74.0,8.9,92.2,1.68,2.0,0,1
56,2603.0,812.0,12.6,14.0,2.3,91.1,1.49,2.0,0,1
69,1519.0,365.0,20.7,13.0,4.5,89.0,1.36,2.0,0,1
8038,1409.0,200.0,19.9,15.0,13.8,86.3,1.44,2.0,1,0
711,3566.625,1754.0,6.3,6.0,5.2,96.7,1.36,2.0,0,1
5708,1848.0,682.0,54.0,5.0,1.1,97.5,1.8,2.0,0,1
265,2938.0,791.0,62.5,15.0,6.9,94.5,0.98,2.0,0,1
1586,1504.0,327.0,25.4,3.0,16.2,94.3,0.76,1.0,0,1
5151,906.0,200.0,43.5,1.0,3.2,93.3,0.92,2.0,0,1
2407,2177.0,1456.0,16.8,8.0,6.6,99.0,0.66,2.0,0,1
4631,3472.0,1749.0,45.0,74.5,12.0,94.4,1.21,2.0,0,1
2022,1748.0,200.0,12.7,9.0,0.5,97.0,1.81,2.0,0,1
1965,1900.0,873.0,26.7,11.0,23.55,90.0,1.29,2.0,0,1
4029,1324.0,200.0,12.9,17.0,11.0,96.6,1.68,2.0,1,1
4890,2912.0,786.0,17.6,1.0,9.4,95.0,1.4,2.0,0,1
5950,1290.0,209.0,9.0,47.0,7.6,85.0,1.88,1.0,0,1
8848,2128.0,1009.0,28.3,9.0,1.6,88.2,1.99,2.0,1,0
8113,1248.0,775.0,42.2,27.0,9.7,94.2,1.04,2.0,1,0
2705,2145.0,421.0,18.4,25.0,14.9,95.5,1.57,2.0,0,1
4936,1035.0,200.0,50.1,3.0,10.5,97.9,1.88,2.0,0,1
3123,3031.0,1003.0,15.2,26.0,7.3,88.0,1.97,2.0,1,1
7694,1930.0,1350.0,22.8,56.0,16.0,94.1,2.08,2.0,1,0
2025,1233.0,226.0,42.9,74.5,2.9,94.2,1.42,2.0,0,1
7710,1997.0,885.0,31.4,6.0,1.9,89.4,1.38,2.0,1,0
2302,2367.0,232.0,17.1,19.0,14.8,92.5,2.24,1.0,0,1
7094,1055.0,200.0,21.9,4.0,8.2,93.8,1.55,2.0,0,0
2083,1874.0,405.0,12.9,32.0,5.3,89.8,1.16,2.0,0,1
6686,2442.0,1248.0,9.5,60.0,4.3,91.1,1.35,2.0,0,0
4512,1025.0,446.0,53.4,0.0,23.55,92.9,1.9,2.0,0,1
5766,1820.0,871.0,29.1,22.0,5.1,92.1,0.72,2.0,0,1
4245,2473.0,982.0,21.4,21.0,11.5,96.3,1.52,2.0,1,1
6092,1780.0,1073.0,27.7,5.0,9.6,87.9,1.53,2.0,0,0
4690,1269.0,853.0,58.1,2.0,12.8,94.2,1.91,2.0,0,1
8133,2929.0,1036.0,29.6,13.0,7.1,90.0,1.04,2.0,1,0
